rank,asset,weight,1d_weight,4h_weight,1h_weight,15m_weight,1m_weight
117,SQD,0.0016975105946823023,0.007517415831372965,0,0,0,0.000970137142038546
118,AAPL,0.0016974901591880883,0,0.00848745079594044,0,0,0
119,BANANAS31,0.001628908468490851,0.006461571090330155,0.0010600345436743925,0,0.0003600507699984015,0.00026288593845130595
120,XAN,0.0016099346825853458,0,0.0025291019839402623,0,0.004463810381981401,0.0010567610470050657
121,龙虾,0.001590154524786991,0,0.0034959369892051304,0.0021615846284073147,0.0014328302122154047,0.000860420794107104
122,MON,0.0015699110523753415,0,0,0,0,0.007849555261876707
123,FLNC,0.0015639377178995595,0,0.004756217102491869,0,0.0030634714870059277,0
124,CC,0.001558261085520681,0,0,0.003700974523874067,0.002152961761063645,0.0019373691426656924
125,RESOLV,0.0015504013015078025,0.005770518534502252,0.0008385086759740276,0.0008932971710304378,0,0.0002496821260322947
126,APR,0.0015489931398885758,0,0.0030176856844903108,0.00326020035642494,0.0014670796585276287,0
127,BR,0.0015264726941523264,0.0038845111795342844,0.0016449941228734491,0.0009418814802978116,0.001160976688056087,0
128,ACE,0.0015182580948824367,0,0.00032650334748749176,0.00016957117193623495,0.005747091995065139,0.001348123959923318
129,SAHARA,0.0015164347865389582,0.0058528588516721285,0.0017293150810226612,0,0,0
130,BIRB,0.0015080542917548746,0,0.001730603464792974,0.003664237970411906,0.002145430023569492,0
131,BERA,0.00149958042229088,0.007497902111454399,0,0,0,0
132,STAR,0.0014977230942854612,0,0.0016738675789507364,0.0024738898748631597,0.0018956869225194445,0.0014451710950939653
133,PROM,0.0014903342057734415,0.003129144777460048,0.00025095576649132725,0.0002993661060219057,0.0032389863134072356,0.0005332180654866901
134,JCT,0.0014708097415796436,0,0.00442278825333259,0.002931260454565629,0,0
135,ZEST,0.001454962052399136,0,0,0.0019865999691527875,0.004262342925690522,0.0010258673671523699
136,AIO,0.0014245056271351845,0,0.002239996828147153,0.002563244270562178,0.0023192870369665914,0
137,COAI,0.0014093266929043793,0,0.003104551537261048,0.0029696207354044904,0,0.0009724611918563566
138,HMSTR,0.0013980293149537643,0,0.0018937404931923154,0.0025593352922803916,0.0014377793067510357,0.0010992914825450793
139,KSTR,0.0013679914511543494,0,0,0.0018959787269449894,0.003190783273725691,0.0017531952551010667
140,HUMA,0.0013652146075267251,0.0051797346240946025,0.0006036548765648628,0.0004151445543706633,0.00046042995918957,0.00016710902341392605
141,LUNC,0.0013338632884763667,0.006669316442381833,0,0,0,0
142,TRUTH,0.0013295172503730007,0,0.0024694034246858644,0.001445539230755033,0.0021493175772679296,0.0005833260191561759
143,PROMPT,0.0013190973435828707,0.005567611339159163,0,0.0010278753787551912,0,0
144,ARIA,0.0013020283990724142,0,0.0017677766034216807,0.0010278667499967697,0.0037144986419436208,0
145,RIVER,0.0012891558052718517,0,0,0,0,0.006445779026359258
146,VANRY,0.0012884961458832793,0,0.000244992422120119,0.005302956202465543,0,0.000894532104830734
147,STBL,0.0012615987918005367,0,0,0,0.0010022413930188226,0.00530575256598386
148,IN,0.001260084758242185,0,0.006300423791210924,0,0,0
149,SAPIEN,0.0012457173605552804,0,0,0.00032877279044746536,0.0009115663624749915,0.004988247649853945
150,TAIKO,0.0012280771729973028,0.0021565186178633083,0.0010744394467919788,0.0029094278003312262,0,0
151,CROSS,0.0012196560852499238,0.004089396501496157,0.0007521203232900636,0.0005849627068322274,0.0006718008946311716,0
152,SPK,0.0012146519106639034,0.006073259553319517,0,0,0,0
153,NAORIS,0.0012099080167991977,0,0.0016057695477080286,0.0012041341918842166,0.0008161134360188285,0.0024235229083849146
154,PTB,0.001209622529533353,0,0,0.0027785242278622496,0.0032695884198045157,0
155,GUN,0.0011852365177236284,0.004052695066494486,0,0,0,0.0018734875221236554
156,FORM,0.0011803286395188279,0.005768339507425612,0,0,0,0.00013330369016852748
157,PYR,0.0011690303146460264,0.002614944416708609,0.0006025261873544973,0.0011222298760631842,0.0008620036997199617,0.00064344739338388
158,AMZN,0.0011652761261221117,0,0.0058263806306105585,0,0,0
159,LUMIA,0.0011615532264375623,0.0021282335727301326,0.0007024848344594983,0.001664958184597956,0.001312089540400225,0
160,XEC,0.001159495310801264,0,0.00017063794635330414,0.0023799587691024715,0.002275135036221058,0.0009717448023294856
161,ACT,0.0011589328046375312,0.004773268833206318,0.0004583531534052586,0,0.0005630420365760793,0
162,SMCI,0.0011575272477627116,0,0,0,0.005787636238813558,0
163,WLFI,0.001106610182359961,0,0,0.002443828233264538,0,0.0030892226785352666
164,LYN,0.0010905544970786776,0,0.002309638931804094,0,0.002415309902275751,0.0007278236513135431
165,MIRA,0.0010867858916358533,0,0.0006948026040758463,0,0,0.00473912685410342
166,COLLECT,0.0010717834067251394,0,0.0017336164957814436,0.0018873161293194792,0.0017379844085247743,0
167,SXT,0.0010636598218719366,0,0.000562382791829579,0.004090594152331246,0.0006653221651988584,0
168,OG,0.0010549365567047281,0.00527468278352364,0,0,0,0
169,XPT,0.001000748977196255,0,0,0,0.0050037448859812745,0
170,FIGHT,0.0009894673932274172,0,0.0013367649126937015,0.0011150358328475447,0.0007553901777217041,0.0017401460428741354
171,ATM,0.000966907113906577,0.0017688050450335403,0.0008837141880870966,0.0012366114955040036,0.0009454048409082447,0
172,SPELL,0.0009665603888576527,0,0,0.0008559356455092581,0.0005404968046984431,0.003436369494080562
173,ZBT,0.0009447176181458011,0,0.0015731498584551401,0.0026063276712378776,0,0.0005441105610359872
174,AIGENSYN,0.0009439380586893433,0,0.0021018828230235866,0.0015039104487316376,0.0006656322481264662,0.00044826477356502554
175,USELESS,0.0009322748799083925,0,0,0,0,0.004661374399541962
176,XNO,0.0009167608106022355,0.0005433003257472226,0.00005559410794865034,0.00004299141465040753,0.0009819348929915428,0.002959983311673354
177,OPG,0.0009127801808494728,0,0.003920295971857058,0,0.0006436049323903056,0
178,HANA,0.0009084991544785574,0,0.001036211503645494,0.0012789415480971714,0,0.0022273427206501214
179,RECALL,0.0009072499524617279,0,0,0.0013452626220722278,0.0015056269809726507,0.0016853601592637611
180,SKL,0.0009001582333794066,0.002013877571882963,0.00037370518832601657,0.001082609067915929,0.0007642845378165563,0.0002663148009555678
181,PRL,0.0008981200466345847,0,0.002897747131264902,0.0009978780916510208,0.0005949750102570002,0
182,LA,0.000890370322801028,0.002454419041072809,0,0.0004937386012600666,0.001503693971672264,0
183,TST,0.0008869809839609382,0.0033295390925000543,0,0.0005685291324798075,0.0002694927239283246,0.0002673439708965042
184,Q,0.0008693964922950367,0,0.0016930065638358952,0.0016473162264233681,0.000713491873758832,0.00029316779745708793
185,OPENAI,0.0008604987877397533,0,0,0,0,0.004302493938698766
186,KGEN,0.0008576704896704451,0,0.0012704224539739236,0.0011818864624362358,0.0018360435319420662,0
187,CHIP,0.0008502965326329295,0,0.002376967406134645,0.0012486836003884351,0,0.0006258316566415669
188,FIDA,0.000847773449667935,0.0030549984091990602,0.001183868839140614,0,0,0
189,GPS,0.0008404450693827959,0.0028050165119643503,0.0006290023164197746,0.0003739376952369538,0.0002203306833379006,0.000173938139955
190,PIEVERSE,0.0008380960388874202,0,0,0,0.0021472740303713476,0.002043206164065753
191,SPORTFUN,0.0008172588716379959,0,0.0021941827333090058,0.0009578425818068686,0.0005465378029871496,0.0003877312400869551
192,PUMPBTC,0.0008091442516955827,0.0031250691448180944,0,0,0.0005804360813901037,0.0003402160322697155
193,BROCCOLI714,0.0007970412484342555,0.003985206242171278,0,0,0,0
194,MORPHO,0.0007880807847196823,0,0.0017617822935764428,0.002178621630021968,0,0
195,STG,0.0007872601488387078,0.0024172673682321486,0.0013981953524368675,0,0,0.00012083802352452217
196,PORTAL,0.0007676746035411338,0.0023063930799773163,0.0013501328479027844,0,0,0.00018184708982556805
197,LIGHT,0.0007586391153105912,0,0,0.0014148846682201445,0.0012660781618013565,0.001112232746531455
198,SUN,0.00074575795877188,0.0028015091535848018,0,0.0006423288333956602,0.00028495180687893766,0
199,BABY,0.0007435047817273746,0.0029388057755073095,0.0005792778032069647,0,0.00019944032992259836,0
200,BX,0.0007117431481915566,0,0,0.0008020725333115306,0.0007314053616849102,0.0020252378459613423
201,LDO,0.0007034449479551056,0,0,0.0035172247397755275,0,0
202,MAVIA,0.0006950103391373639,0.0032550419608720167,0,0,0,0.00022000973481480244
203,C,0.000686838583012079,0.0031284895589946005,0,0,0.0003057033560657942,0
204,WET,0.0006499669160913241,0,0,0.0014816225385146865,0.0010746056487635704,0.0006936063931783632
205,TNSR,0.0006474396771425821,0.0025697621227246496,0.0005383711346360737,0,0,0.0001290651283521872
206,KMNO,0.0006465547477807713,0.0029666866611131205,0,0.00016677160293618188,0.00009931547485455298,0
207,DATAIP,0.0006417986368472099,0,0,0.0023076110776819214,0.000901382106554128,0
208,STO,0.0006236480303471701,0.00311824015173585,0,0,0,0
209,BONK,0.0006179197635789888,0,0,0,0.0030895988178949434,0
210,HYUNDAI,0.000609077695023813,0,0,0,0.001592836068493348,0.0014525524066257166
211,MMT,0.000606681964652167,0,0.0007739685052407483,0.001223555094855108,0.0005618131376312927,0.00047407308553368564
212,IBM,0.0006016889175240348,0,0,0,0.0006851022357418898,0.0023233423518782843
213,NIL,0.0005898292884096289,0.0029491464420481443,0,0,0,0
214,MINIMAX,0.0005895699331838066,0,0,0,0,0.002947849665919033
215,SNX,0.0005856446323796292,0,0,0,0.0011130459515011281,0.0018151772103970178
216,EDU,0.000579781513273599,0.0028989075663679947,0,0,0,0
217,GENIUS,0.0005754128310002923,0,0.0019513692817692144,0,0.0005452708814273387,0.0003804239918049088
218,TWT,0.0005737622736111192,0.002868811368055596,0,0,0,0
219,SENT,0.0005571436597677116,0,0.0009612104213303076,0.00182450787750825,0,0
220,SKR,0.0005465191067079662,0,0,0,0.0011677646794384135,0.0015648308541014175
